,Timestamp,CALM,ANGRY,CONFUSED,SAD,SURPRISED,DISGUSTED,FEAR,HAPPY
0,0,0.4375,0.1,0.2,0.2125,0,0.0375,0.0125,0
1,1,0.4375,0.125,0.2125,0.1875,0,0.0125,0.0125,0.0125
2,2,0.4375,0.125,0.2125,0.1875,0.0125,0,0.0125,0.0125
3,3,0.45,0.1,0.125,0.2375,0.025,0.025,0.0125,0.025
4,4,0.4375,0.1125,0.175,0.2125,0,0.0375,0.0125,0.0125
5,5,0.55,0.1,0.175,0.1625,0,0.0125,0,0
6,6,0.5375,0.125,0.125,0.1625,0.025,0.025,0,0
7,7,0.45,0.1375,0.1875,0.175,0.0125,0.025,0,0.0125
8,8,0.475,0.1,0.2125,0.1875,0,0,0,0.025
9,9,0.5,0.075,0.175,0.2,0,0.0375,0,0.0125
10,10,0.4,0.125,0.2125,0.2125,0.025,0.0125,0,0.0125
11,11,0.4375,0.1125,0.2,0.175,0.025,0.0375,0,0.0125
12,12,0.425,0.175,0.225,0.1625,0,0.0125,0,0
13,13,0.5,0.125,0.2125,0.125,0.0125,0.025,0,0
14,14,0.425,0.1,0.2125,0.1875,0.0125,0.0375,0.025,0
15,15,0.4375,0.1375,0.2,0.1875,0.0125,0,0.0125,0.0125
16,16,0.45,0.1625,0.125,0.1625,0.05,0.025,0.0125,0.0125
17,17,0.525,0.1375,0.1375,0.125,0.0375,0.0125,0.0125,0.0125
18,18,0.425,0.1125,0.1875,0.1625,0.0375,0.0375,0,0.0375
19,19,0.45,0.0875,0.1875,0.175,0.0375,0,0.0125,0.05
20,20,0.4625,0.075,0.15,0.225,0.025,0.0125,0.0125,0.0375
21,21,0.4375,0.0875,0.1375,0.2,0.05,0.025,0.025,0.0375
22,22,0.5,0.1,0.1125,0.2,0.0125,0.025,0.0125,0.0375
23,23,0.45,0.125,0.175,0.1625,0.0125,0.0125,0.0125,0.05
24,24,0.4556962025316456,0.1012658227848101,0.189873417721519,0.1645569620253164,0,0.0379746835443038,0.01265822784810127,0.0379746835443038
25,25,0.4625,0.1125,0.2125,0.125,0.0375,0,0.0125,0.0375
26,26,0.4875,0.0875,0.1875,0.125,0.025,0.0375,0.025,0.025
27,27,0.4375,0.1125,0.2125,0.175,0,0.025,0.0125,0.025
28,28,0.4375,0.1375,0.2125,0.1625,0.0125,0.0125,0.0125,0.0125
29,29,0.4625,0.1125,0.175,0.15,0.025,0.025,0.0125,0.0375
30,30,0.45,0.1,0.175,0.1375,0.0125,0.0125,0.05,0.0625
31,31,0.475,0.125,0.1625,0.1625,0,0.0125,0.025,0.0375
32,32,0.4125,0.1125,0.1625,0.1875,0,0.025,0.025,0.075
33,33,0.3875,0.0875,0.1875,0.2375,0,0.025,0.025,0.05
34,34,0.4625,0.1125,0.15,0.2,0,0.0125,0.025,0.0375
35,35,0.425,0.125,0.15,0.2125,0.0125,0.025,0.0125,0.0375
36,36,0.4375,0.075,0.1625,0.2375,0.0125,0.025,0.025,0.025
37,37,0.4125,0.15,0.1125,0.225,0.0375,0.05,0.0125,0
38,38,0.5,0.0875,0.1125,0.225,0.0125,0.025,0.0125,0.025
