,stimulus,message,weight,"Coppel Moda.mp4","Coppel Seleccion.mp4",Kavak.mp4,"Wild &amp; Fork 39s (1).mp4"
0,"Coppel Moda.mp4","Coppel es mi tienda departmental favorite",52.76708620458109,,,,
1,"Coppel Moda.mp4","Coppel tiene la ropa de moda que yo necesito",67.19787016883171,,,,
2,"Coppel Moda.mp4","Definitivamente compraré en Coppel",72.29370892475725,,,,
3,"Coppel Moda.mp4","Me gusta la publicidad que esta haciendo Coppel",80.0628448077489,,,,
4,"Coppel Seleccion.mp4","Coppel es mi tienda departmental favorite",53.42472945094766,,,,
5,"Coppel Seleccion.mp4","Coppel tiene la ropa de moda que yo necesito",69.03574136118004,,,,
6,"Coppel Seleccion.mp4","Definitivamente compraré en Coppel",74.44263495063346,,,,
7,"Coppel Seleccion.mp4","Me gusta la publicidad que esta haciendo Coppel",85.8885172381432,,,,
8,Kavak.mp4,"Definitivamente compraré mi siguiente auto en Kavak",52.74589798405805,,,,
9,Kavak.mp4,"Kavak me ofrece la forma más segura de comprar un auto usado",59.85121030388362,,,,
10,Kavak.mp4,"Kavak tiene la más grande variedad de autos",65.7992407659078,,,,
11,Kavak.mp4,"Me gusta la publicidad que esta haciendo Kavak",82.33675536429944,,,,
12,"Wild &amp; Fork 39s (1).mp4","Definitivamente comprare en Wild Fork",88.23517987795341,,,,
13,"Wild &amp; Fork 39s (1).mp4","La publicidad hace que la marca Wild Fork me parezca una marca más atractiva",68.73896773664711,,,,
14,"Wild &amp; Fork 39s (1).mp4","La publicidad que están realizando Wild Fork es divertida",76.95892543439189,,,,
15,"Wild &amp; Fork 39s (1).mp4","Me gusta la publicidad que están realizando Wild Fork",88.68237486567887,,,,
16,"Wild &amp; Fork 39s (1).mp4","Me queda claro el mensaje que Wild Fork quiere transmitir",81.70157326823015,,,,
17,"Wild &amp; Fork 39s (1).mp4","Wild Fork es una marca que está haciendo cosas diferentes",73.0856039691994,,,,
